lfg_id,lfg_name,map,difficulty,expansion,wing,step,kind,boss,entry,x,y,z,source,note
22,Uldaman,70,0,0,-,3,optional,Ironaya,7228,-235.7,309.6,-47.6,spawn,door needs Staff of Prehistoria
22,Uldaman,70,0,0,-,4,boss,Ancient Stone Keeper,7206,-38.4,221.3,-48.4,spawn,
22,Uldaman,70,0,0,-,5,boss,Galgann Firehammer,7291,-10.4,414.7,-46.9,spawn,
22,Uldaman,70,0,0,-,6,boss,Grimlok,4854,56.7,455.3,-41,spawn,
22,Uldaman,70,0,0,-,7,event,Archaedas,2748,104.3,272.3,-51.7,spawn,altar click starts encounter
24,Zul'Farrak,209,0,0,-,1,boss,Theka the Martyr,7272,1778,859.7,8.9,spawn,
24,Zul'Farrak,209,0,0,-,2,boss,Antu'sul,8127,1815.8,670.4,15,spawn,
24,Zul'Farrak,209,0,0,-,3,boss,Witch Doctor Zum'rah,7271,1912.2,1016.1,11.6,spawn,
24,Zul'Farrak,209,0,0,-,4,boss,Sandfury Executioner,7274,1886.8,1289.9,46,spawn,pyramid top
24,Zul'Farrak,209,0,0,-,5,event,Sergeant Bly,7604,1882.9,1299.3,48.4,spawn,"stairs event (Divino-matic Rod), spawns Nekrum + Sezz'ziz"
24,Zul'Farrak,209,0,0,-,6,event,Nekrum Gutchewer,7796,NULL,NULL,NULL,script,
24,Zul'Farrak,209,0,0,-,7,event,Shadowpriest Sezz'ziz,,,,,unknown,
24,Zul'Farrak,209,0,0,-,8,boss,Chief Ukorz Sandscalp,7267,1727.5,1017.3,54.9,spawn,with Ruuzlu
24,Zul'Farrak,209,0,0,-,9,optional,Hydromancer Velratha,7795,1698.2,1210.7,9.4,spawn,
24,Zul'Farrak,209,0,0,-,10,optional,Gahz'rilla,,,,,unknown,Mallet summon
26,Maraudon - Orange Crystals,349,0,0,Foulspore Cavern,1,boss,Noxxion,13282,1130.4,-191.3,-80,spawn,Orange Crystals
26,Maraudon - Orange Crystals,349,0,0,Foulspore Cavern,2,boss,Razorlash,12258,978.9,-10.2,-62.5,spawn,
272,Maraudon - Purple Crystals,349,0,0,Wicked Grotto,1,boss,Lord Vyletongue,12236,748.9,-219.6,-47.7,spawn,Purple Crystals
273,Maraudon - Pristine Waters,349,0,0,Earth Song Falls,1,optional,Celebras the Cursed,12225,726.1,78,-86.6,spawn,"optional/shared, not assigned to a specific 3.3.5 LFD wing (Poison Falls, between outer wings and inner)"
273,Maraudon - Pristine Waters,349,0,0,Earth Song Falls,2,boss,Tinkerer Gizlock,13601,134.9,-313.7,-173.6,spawn,Earth Song Falls in 3.3.5a (moved to Wicked Grotto only in 4.0.3a)
273,Maraudon - Pristine Waters,349,0,0,Earth Song Falls,3,boss,Landslide,12203,356.7,-185.5,-59.8,spawn,
273,Maraudon - Pristine Waters,349,0,0,Earth Song Falls,4,optional,Rotgrip,13596,42.1,-66,-199.6,spawn,lake
273,Maraudon - Pristine Waters,349,0,0,Earth Song Falls,5,boss,Princess Theradras,12201,27.9,83.2,-124.5,spawn,
28,Sunken Temple,109,0,0,-,1,boss,Loro,5714,-466.7,24.4,-66.8,spawn,"Atal'ai Defender 1/6 — all six required, kill order arbitrary; listed order follows a clockwise route"
28,Sunken Temple,109,0,0,-,2,boss,Gasher,5713,-528,59.5,-66.7,spawn,Atal'ai Defender 2/6
28,Sunken Temple,109,0,0,-,3,boss,Zolo,5712,-528.6,130.2,-66.8,spawn,Atal'ai Defender 3/6
28,Sunken Temple,109,0,0,-,4,boss,Mijan,5717,-406.2,131.1,-66.9,spawn,Atal'ai Defender 4/6
28,Sunken Temple,109,0,0,-,5,boss,Zul'Lor,5716,-467.4,166,-66.7,spawn,Atal'ai Defender 5/6
28,Sunken Temple,109,0,0,-,6,boss,Hukku,5715,-405.5,60.5,-67.1,spawn,Atal'ai Defender 6/6 -> Jammal'an shield drops
28,Sunken Temple,109,0,0,-,7,boss,Jammal'an the Prophet,5710,-425.9,-86.1,-88.2,spawn,with Ogom the Wretched
28,Sunken Temple,109,0,0,-,8,optional,Dreamscythe,5721,-453.5,137.2,-90.8,spawn,
28,Sunken Temple,109,0,0,-,9,optional,Weaver,5720,-458.8,127.7,-91.6,spawn,
28,Sunken Temple,109,0,0,-,10,optional,Morphaz,5719,-667.6,103.1,-90.8,spawn,
28,Sunken Temple,109,0,0,-,11,optional,Hazzas,5722,-667.4,80.8,-90.8,spawn,
28,Sunken Temple,109,0,0,-,12,boss,Shade of Eranikus,5709,-658.4,-35.8,-90.8,spawn,
28,Sunken Temple,109,0,0,-,13,optional,Atal'alarion,8580,-480.4,96.6,-189.7,spawn,"statue puzzle, basement"
28,Sunken Temple,109,0,0,-,14,optional,Avatar of Hakkar,8443,NULL,NULL,NULL,script,quest event
30,Blackrock Depths - Prison,230,0,0,Prison,1,boss,High Interrogator Gerstahn,9018,310.6,-146.3,-70.3,spawn,LFD completion boss for Prison
30,Blackrock Depths - Prison,230,0,0,Prison,2,boss,Lord Roccor,9025,615.5,-267.4,-83.6,spawn,
30,Blackrock Depths - Prison,230,0,0,Prison,3,boss,Houndmaster Grebmar,9319,607.7,-174.8,-84.5,spawn,
30,Blackrock Depths - Prison,230,0,0,Prison,4,event,Ring of Law,,,,,unknown,"arena, random boss (Anub'shiah/Eviscerator/Gorosh/Grizzle/Hedrum/Ok'thor)"
30,Blackrock Depths - Prison,230,0,0,Prison,5,optional,Fineous Darkvire,9056,963.3,-343.7,-71.7,spawn,Dark Iron Legacy / Shadowforge Key
30,Blackrock Depths - Prison,230,0,0,Prison,6,boss,Pyromancer Loregrain,9024,530.2,-243.9,-43,spawn,
30,Blackrock Depths - Prison,230,0,0,Prison,7,boss,Bael'Gar,9016,702.4,184.5,-72,spawn,
30,Blackrock Depths - Prison,230,0,0,Prison,8,boss,Lord Incendius,9017,893.5,-267.1,-71.9,spawn,
30,Blackrock Depths - Prison,230,0,0,Prison,9,optional,Warder Stilgiss,9041,823.4,-342.3,-50.1,spawn,with Verek
30,Blackrock Depths - Prison,230,0,0,Prison,10,optional,Watchman Doomgrip,9476,NULL,NULL,NULL,script,event: spawns when relic coffers are opened (12 keys)
276,Blackrock Depths - Upper City,230,0,0,Upper,1,boss,General Angerforge,9033,652.4,21.4,-60,spawn,
276,Blackrock Depths - Upper City,230,0,0,Upper,2,boss,Golem Lord Argelmach,8983,846.8,16.3,-53.6,spawn,
276,Blackrock Depths - Upper City,230,0,0,Upper,3,optional,Ribbly Screwspigot,9543,878.5,-167.7,-49.7,spawn,Grim Guzzler
276,Blackrock Depths - Upper City,230,0,0,Upper,4,optional,Phalanx,9502,869,-225,-43.7,spawn,Grim Guzzler
276,Blackrock Depths - Upper City,230,0,0,Upper,5,optional,Hurley Blackbreath,9537,878.1,-153.1,-49.8,spawn,Grim Guzzler
276,Blackrock Depths - Upper City,230,0,0,Upper,6,door,Grim Guzzler back door,,,,,-,Plugger bar fight / Rocknot event
276,Blackrock Depths - Upper City,230,0,0,Upper,7,boss,Ambassador Flamelash,9156,1009.8,-239,-61.3,spawn,
276,Blackrock Depths - Upper City,230,0,0,Upper,8,optional,Panzor the Invincible,8923,1135.5,-163,-74.9,spawn,rare
276,Blackrock Depths - Upper City,230,0,0,Upper,9,event,Doom'rel,9039,1281.1,-282.2,-78.1,spawn,Chest of the Seven (7 dwarves sequential)
276,Blackrock Depths - Upper City,230,0,0,Upper,10,boss,Magmus,9938,1380.7,-659.3,-92,spawn,Lyceum gauntlet before
276,Blackrock Depths - Upper City,230,0,0,Upper,11,boss,Emperor Dagran Thaurissan,9019,1380.2,-831.6,-87.6,spawn,LFD completion boss for Upper City; with Princess Moira Bronzebeard; High Priestess of Thaurissan spawns
32,Lower Blackrock Spire,229,0,0,-,1,boss,Highlord Omokk,9196,-22.8,-300.7,31.8,spawn,
32,Lower Blackrock Spire,229,0,0,-,2,boss,Shadow Hunter Vosh'gajin,9236,-121.2,-482.2,24.7,spawn,
32,Lower Blackrock Spire,229,0,0,-,3,boss,War Master Voone,9237,-17,-459.1,-18.6,spawn,
32,Lower Blackrock Spire,229,0,0,-,4,boss,Mother Smolderweb,10596,-135.5,-565.8,10.2,spawn,
32,Lower Blackrock Spire,229,0,0,-,5,optional,Halycon,10220,-193.9,-338.1,64.5,spawn,
32,Lower Blackrock Spire,229,0,0,-,6,boss,Quartermaster Zigris,9736,-190.5,-475.6,87.4,spawn,
32,Lower Blackrock Spire,229,0,0,-,7,optional,Gizrul the Slavener,10268,NULL,NULL,NULL,script,spawns after Halycon
32,Lower Blackrock Spire,229,0,0,-,8,boss,Overlord Wyrmthalak,9568,-22.6,-486.2,90.8,spawn,
2,Scholomance,289,0,0,-,1,optional,Kirtonos the Herald,10506,NULL,NULL,NULL,script,summon (Blood of Innocents)
2,Scholomance,289,0,0,-,2,boss,Jandice Barov,10503,268.2,73.6,95.9,spawn,
2,Scholomance,289,0,0,-,3,boss,Rattlegore,11622,137.1,171.7,96,spawn,drops Viewing Room Key
2,Scholomance,289,0,0,-,4,door,Viewing Room door,,,,,-,Rattlegore key
2,Scholomance,289,0,0,-,5,boss,Marduk Blackpool,10433,150.4,116.2,104.7,spawn,
2,Scholomance,289,0,0,-,6,boss,Vectus,10432,143.5,99.1,104.7,spawn,
2,Scholomance,289,0,0,-,7,boss,The Ravenian,10507,103.3,-1.7,75.2,spawn,
2,Scholomance,289,0,0,-,8,boss,Lord Alexei Barov,10504,178.7,-91,70.9,spawn,
2,Scholomance,289,0,0,-,9,boss,Instructor Malicia,10505,86.7,-2,85.3,spawn,
2,Scholomance,289,0,0,-,10,boss,Doctor Theolen Krastinov,11261,182.2,-95.4,85.3,spawn,
2,Scholomance,289,0,0,-,11,boss,Lorekeeper Polkelt,10901,274.9,1.3,85.3,spawn,
2,Scholomance,289,0,0,-,12,boss,Lady Illucia Barov,10502,266,0.9,75.3,spawn,
2,Scholomance,289,0,0,-,13,boss,Ras Frostwhisper,10508,-25.1,141.3,83.9,spawn,
2,Scholomance,289,0,0,-,14,event,Darkmaster Gandling,1853,180.8,-5.4,75.6,spawn,spawns after all six
40,Stratholme - Main Gate,329,0,0,Live,1,optional,Timmy the Cruel,10808,3614.7,-3187.6,131.4,spawn,script-spawned in Market Row
40,Stratholme - Main Gate,329,0,0,Live,2,optional,The Unforgiven,10516,3719.8,-3426.2,131.8,spawn,
40,Stratholme - Main Gate,329,0,0,Live,3,optional,Postmaster Malown,11143,NULL,NULL,NULL,script,summon via postboxes
40,Stratholme - Main Gate,329,0,0,Live,4,door,Scarlet Bastion gate,,,,,-,Scarlet Key / Crusaders' Square
40,Stratholme - Main Gate,329,0,0,Live,5,boss,Cannon Master Willey,10997,3573.6,-2937.3,125.1,spawn,
40,Stratholme - Main Gate,329,0,0,Live,6,optional,Crimson Hammersmith,11120,NULL,NULL,NULL,script,summon
40,Stratholme - Main Gate,329,0,0,Live,7,boss,Archivist Galford,10811,3456,-3103.4,136.5,spawn,
40,Stratholme - Main Gate,329,0,0,Live,8,boss,Grand Crusader Dathrohan,10812,3415.8,-3044.5,136.8,spawn,-> Balnazzar at 50%
274,Stratholme - Service Entrance,329,0,0,Undead,1,event,Magistrate Barthilas,10435,3663.2,-3619.1,138,spawn,flees on first contact
274,Stratholme - Service Entrance,329,0,0,Undead,2,optional,Stonespine,10809,4058.9,-3530.3,122.2,spawn,rare
274,Stratholme - Service Entrance,329,0,0,Undead,3,boss,Baroness Anastari,10436,3855.3,-3715.8,148.2,spawn,ziggurat 1
274,Stratholme - Service Entrance,329,0,0,Undead,4,boss,Nerub'enkan,10437,3855,-3528.8,144.3,spawn,ziggurat 2
274,Stratholme - Service Entrance,329,0,0,Undead,5,boss,Maleki the Pallid,10438,4035.8,-3647.8,135.7,spawn,ziggurat 3 -> Slaughter Square gate opens
274,Stratholme - Service Entrance,329,0,0,Undead,6,boss,Magistrate Barthilas,10435,3663.2,-3619.1,138,spawn,rematch
274,Stratholme - Service Entrance,329,0,0,Undead,7,event,Ramstein the Gorger,10439,NULL,NULL,NULL,script,after abominations
274,Stratholme - Service Entrance,329,0,0,Undead,8,boss,Baron Rivendare,10440,4035.8,-3336.3,115.1,spawn,45-min timer for quest only
34,Dire Maul - East,429,0,0,East,1,event,Pusillin,14354,86.2,-197.9,-4.1,spawn,"chase, Crescent Key"
34,Dire Maul - East,429,0,0,East,2,optional,Lethtendris,14327,-5.5,-441.1,16.4,spawn,with Pimgib
34,Dire Maul - East,429,0,0,East,3,optional,Hydrospawn,13280,4.6,-438.4,-60,spawn,
34,Dire Maul - East,429,0,0,East,4,optional,Zevrim Thornhoof,11490,-35,-448,-37.9,spawn,
34,Dire Maul - East,429,0,0,East,5,door,Alzzin door,,,,,-,Old Ironbark opens after Zevrim
34,Dire Maul - East,429,0,0,East,6,boss,Alzzin the Wildshaper,11492,274.8,-427.3,-120,spawn,
36,Dire Maul - West,429,0,0,West,1,door,Crescent Key door,,,,,-,
36,Dire Maul - West,429,0,0,West,2,optional,Tendris Warpwood,11489,14.4,475.8,-23.3,spawn,
36,Dire Maul - West,429,0,0,West,3,optional,Tsu'zee,11467,128.6,561.8,-4.3,spawn,rare
36,Dire Maul - West,429,0,0,West,4,optional,Magister Kalendris,11487,33.1,575.6,-4.3,spawn,
36,Dire Maul - West,429,0,0,West,5,optional,Illyanna Ravenoak,11488,-14.6,542.1,28.6,spawn,with Ferra
36,Dire Maul - West,429,0,0,West,6,optional,Immol'thar,11496,-38.1,812.4,-29.5,spawn,5 pylons
36,Dire Maul - West,429,0,0,West,7,boss,Prince Tortheldrin,11486,132.6,625.9,-48.4,spawn,
38,Dire Maul - North,429,0,0,North,1,door,Crescent Key door,,,,,-,
38,Dire Maul - North,429,0,0,North,2,optional,Guard Mol'dar,14326,410.7,-3.2,-24.6,spawn,
38,Dire Maul - North,429,0,0,North,3,optional,Stomper Kreeg,14322,491.2,97.4,-2.5,spawn,
38,Dire Maul - North,429,0,0,North,4,optional,Guard Fengus,14321,356.8,258.3,11.7,spawn,
38,Dire Maul - North,429,0,0,North,5,optional,Guard Slip'kik,14323,550.4,533.7,-25.3,spawn,
38,Dire Maul - North,429,0,0,North,6,optional,Captain Kromcrush,14325,627.6,481.7,29.5,spawn,
38,Dire Maul - North,429,0,0,North,7,optional,Cho'Rush the Observer,14324,834,489.5,37.4,spawn,
38,Dire Maul - North,429,0,0,North,8,boss,King Gordok,11501,828.1,480.8,37.3,spawn,
285,The Headless Horseman,189,0,0,-,1,event,Headless Horseman,,,,,unknown,Hallow's End only
287,Coren Direbrew,230,0,0,-,1,event,Coren Direbrew,23872,891.8,-129.2,-49.7,spawn,Brewfest only
286,The Frost Lord Ahune,547,0,1,-,1,event,Lord Ahune,,,,,unknown,Midsummer only
288,The Crown Chemical Co.,33,0,0,-,1,event,Apothecary Hummel,36296,-208.1,2217.4,79.8,spawn,Love is in the Air only
136,Hellfire Ramparts,543,0,1,-,1,boss,Watchkeeper Gargolmar,17306,-1187.2,1530.5,68.5,spawn,
136,Hellfire Ramparts,543,0,1,-,2,boss,Vazruden the Herald,17307,-1378.5,1698.2,104.1,spawn,Nazan lands after Vazruden dismounts (script)
136,Hellfire Ramparts,543,0,1,-,3,boss,Omor the Unscarred,17308,-1122.3,1718.4,89.4,spawn,
137,Blood Furnace,542,0,1,-,1,boss,The Maker,17381,327.2,137.8,9.6,spawn,
137,Blood Furnace,542,0,1,-,2,event,Broggok,17380,455.3,-1.8,9.6,spawn,cell waves lever
137,Blood Furnace,542,0,1,-,3,boss,Keli'dan the Breaker,17377,326.5,-86,-24.6,spawn,channelers first
138,Shattered Halls,540,0,1,-,1,boss,Grand Warlock Nethekurse,16807,172.7,289.6,-8.1,spawn,
138,Shattered Halls,540,0,1,-,2,event,Gauntlet of Flame,,,,,unknown,archers gauntlet
138,Shattered Halls,540,0,1,-,4,boss,Warbringer O'mrogg,16809,375.1,57.6,-7.2,spawn,
138,Shattered Halls,540,0,1,-,5,boss,Warchief Kargath Bladefist,16808,231.2,-83.6,5,spawn,
140,Slave Pens,547,0,1,-,1,boss,Mennu the Betrayer,17941,49.5,-380.2,3,spawn,
140,Slave Pens,547,0,1,-,2,boss,Rokmar the Crackler,17991,18.3,-448.4,3.1,spawn,
140,Slave Pens,547,0,1,-,3,boss,Quagmirran,17942,-281.1,-667.1,9.4,spawn,
146,Underbog,546,0,1,-,1,boss,Hungarfen,17770,-121.3,-388.6,36.9,spawn,
146,Underbog,546,0,1,-,2,boss,Ghaz'an,18105,193.7,-425,43.5,spawn,
146,Underbog,546,0,1,-,3,boss,Swamplord Musel'ek,17826,288.6,-121.8,29.7,spawn,with Claw
146,Underbog,546,0,1,-,4,boss,The Black Stalker,17882,143.4,9.1,27.6,spawn,
147,The Steamvault,545,0,1,-,1,boss,Hydromancer Thespia,17797,88.4,-316.1,-7.8,spawn,
147,The Steamvault,545,0,1,-,2,boss,Mekgineer Steamrigger,17796,-330.1,-121.5,-8,spawn,
147,The Steamvault,545,0,1,-,3,door,Control panels,,,,,-,2 panels behind first two bosses
147,The Steamvault,545,0,1,-,4,boss,Warlord Kalithresh,17798,-95.4,-552,8.3,spawn,
148,Mana-Tombs,557,0,1,-,1,boss,Pandemonius,18341,-68,-118.9,-1.2,spawn,
148,Mana-Tombs,557,0,1,-,2,boss,Tavarok,18343,-321.7,-222.2,-0.8,spawn,
148,Mana-Tombs,557,0,1,-,4,boss,Nexus-Prince Shaffar,18344,-184.4,9.3,16.8,spawn,
149,Auchenai Crypts,558,0,1,-,1,boss,Shirrak the Dead Watcher,18371,-50.9,-163.1,26.4,spawn,
149,Auchenai Crypts,558,0,1,-,2,boss,Exarch Maladaar,18373,68.1,-387.8,26.6,spawn,
150,Sethekk Halls,556,0,1,-,1,boss,Darkweaver Syth,18472,-144.8,173.6,1.8,spawn,
150,Sethekk Halls,556,0,1,-,3,boss,Talon King Ikiss,18473,44.7,287,25.2,spawn,
151,Shadow Labyrinth,555,0,1,-,1,event,Ambassador Hellmaw,18731,-156.7,5,8.2,spawn,freed after banishers
151,Shadow Labyrinth,555,0,1,-,2,boss,Blackheart the Inciter,18667,-328.2,-39.1,12.7,spawn,
