id	name	minL	maxL	map	diff	type	exp	group
196	Black Temple	70	83	564	0	2	1	7
197	Zul'Aman	70	83	568	0	2	1	7
199	The Sunwell	70	83	580	0	2	1	7
223	The Eye of Eternity	80	83	616	0	2	2	8
224	The Obsidian Sanctum	80	83	615	0	2	2	8
227	Naxxramas	80	83	533	1	2	2	9
237	The Eye of Eternity	80	83	616	1	2	2	9
238	The Obsidian Sanctum	80	83	615	1	2	2	9
239	Vault of Archavon	80	83	624	0	2	2	8
240	Vault of Archavon	80	83	624	1	2	2	9
243	Ulduar	80	83	603	0	2	2	8
244	Ulduar	80	83	603	1	2	2	9
246	Trial of the Crusader	80	83	649	0	2	2	8
247	Trial of the Grand Crusader	80	83	649	2	2	2	8
248	Trial of the Crusader	80	83	649	1	2	2	9
250	Trial of the Grand Crusader	80	83	649	3	2	2	9
257	Onyxia's Lair	80	83	249	1	2	2	9
279	Icecrown Citadel	80	83	631	0	2	2	8
280	Icecrown Citadel	80	83	631	1	2	2	9
293	Ruby Sanctum	80	83	724	0	2	2	8
294	Ruby Sanctum	80	83	724	1	2	2	9
58	Elwynn Forest	1	14	4294967295	0	4	0	0
60	Westfall	8	24	4294967295	0	4	0	0
62	Duskwood	18	34	4294967295	0	4	0	0
64	Dun Morogh	1	14	4294967295	0	4	0	0
66	Loch Modan	8	24	4294967295	0	4	0	0
68	Wetlands	18	34	4294967295	0	4	0	0
70	Stranglethorn Vale	28	50	4294967295	0	4	0	0
72	Blasted Lands	43	60	4294967295	0	4	0	0
74	Swamp of Sorrows	33	50	4294967295	0	4	0	0
76	Redridge Mountains	13	30	4294967295	0	4	0	0
78	Burning Steppes	48	60	4294967295	0	4	0	0
80	Searing Gorge	43	60	4294967295	0	4	0	0
82	Badlands	33	50	4294967295	0	4	0	0
84	Arathi Highlands	28	44	4294967295	0	4	0	0
86	Hillsbrad Foothills	18	34	4294967295	0	4	0	0
88	Hinterlands	38	54	4294967295	0	4	0	0
90	Western Plaguelands	48	60	4294967295	0	4	0	0
92	Eastern Plaguelands	53	63	4294967295	0	4	0	0
94	Tirisfal Glades	1	14	4294967295	0	4	0	0
96	Silverpine Forest	8	24	4294967295	0	4	0	0
98	Alterac Mountains	28	44	4294967295	0	4	0	0
100	Durotar	1	14	4294967295	0	4	0	0
102	Mulgore	1	14	4294967295	0	4	0	0
104	The Barrens	8	30	4294967295	0	4	0	0
106	Stonetalon Mountains	13	32	4294967295	0	4	0	0
108	Thousand Needles	23	40	4294967295	0	4	0	0
110	Desolace	28	44	4294967295	0	4	0	0
112	Feralas	38	54	4294967295	0	4	0	0
114	Dustwallow Marsh	33	50	4294967295	0	4	0	0
116	Tanaris	38	54	4294967295	0	4	0	0
118	Un'Goro Crater	45	60	4294967295	0	4	0	0
120	Silithus	53	60	4294967295	0	4	0	0
122	Teldrassil	1	14	4294967295	0	4	0	0
124	Darkshore	8	24	4294967295	0	4	0	0
126	Ashenvale	18	34	4294967295	0	4	0	0
128	Felwood	46	60	4294967295	0	4	0	0
130	Azshara	43	60	4294967295	0	4	0	0
132	Winterspring	53	63	4294967295	0	4	0	0
152	Hellfire Peninsula	57	66	4294967295	0	4	1	0
153	Zangarmarsh	58	67	4294967295	0	4	1	0
154	Terokkar Forest	60	68	4294967295	0	4	1	0
155	Nagrand	62	70	4294967295	0	4	1	0
156	Shadowmoon Valley	65	73	4294967295	0	4	1	0
157	Blade's Edge Mountains	63	71	4294967295	0	4	1	0
158	Netherstorm	65	73	4294967295	0	4	1	0
166	Eversong Woods	1	14	4294967295	0	4	1	0
167	Azuremyst Isle	1	14	4294967295	0	4	1	0
168	Ghostlands	8	24	4294967295	0	4	1	0
169	Bloodmyst Isle	8	24	4294967295	0	4	1	0
200	Isle of Quel'Danas	69	72	530	0	4	1	0
228	Borean Tundra	68	72	571	0	4	2	0
229	Howling Fjord	68	72	571	0	4	2	0
230	Grizzly Hills	70	74	571	0	4	2	0
231	Dragonblight	71	75	571	0	4	2	0
232	Wintergrasp	77	80	571	0	4	2	0
233	Zul'Drak	73	77	571	0	4	2	0
234	Sholazar Basin	75	79	571	0	4	2	0
235	The Storm Peaks	77	80	571	0	4	2	0
236	Icecrown	77	80	571	0	4	2	0
178	Auchenai Crypts	70	75	558	1	5	1	3
179	Mana-Tombs	70	75	557	1	5	1	3
180	Sethekk Halls	70	75	556	1	5	1	3
181	Shadow Labyrinth	70	75	555	1	5	1	3
182	The Black Morass	70	75	269	1	5	1	3
183	The Escape From Durnholde	70	75	560	1	5	1	3
184	Slave Pens	70	75	547	1	5	1	3
185	The Steamvault	70	75	545	1	5	1	3
186	Underbog	70	75	546	1	5	1	3
187	Blood Furnace	70	75	542	1	5	1	3
188	Hellfire Ramparts	70	75	543	1	5	1	3
189	Shattered Halls	70	75	540	1	5	1	3
190	The Arcatraz	70	75	552	1	5	1	3
191	The Botanica	70	75	553	1	5	1	3
192	The Mechanar	70	75	554	1	5	1	3
201	Magisters' Terrace	70	75	585	1	5	1	3
205	Utgarde Pinnacle	80	83	575	1	5	2	5
210	The Culling of Stratholme	80	83	595	1	5	2	5
211	The Oculus	80	83	578	1	5	2	5
212	Halls of Lightning	80	83	602	1	5	2	5
213	Halls of Stone	80	83	599	1	5	2	5
215	Drak'Tharon Keep	80	83	600	1	5	2	5
217	Gundrak	80	83	604	1	5	2	5
219	Ahn'kahet: The Old Kingdom	80	83	619	1	5	2	5
221	Violet Hold	80	83	608	1	5	2	5
226	The Nexus	80	83	576	1	5	2	5
241	Azjol-Nerub	80	83	601	1	5	2	5
242	Utgarde Keep	80	83	574	1	5	2	5
249	Trial of the Champion	80	83	650	1	5	2	5
252	The Forge of Souls	80	83	632	1	5	2	5
254	Pit of Saron	80	83	658	1	5	2	5
256	Halls of Reflection	80	83	668	1	5	2	5
258	Random Classic Dungeon	15	58	0	0	6	0	1
259	Random Burning Crusade Dungeon	59	68	0	0	6	1	2
260	Random Burning Crusade Heroic	70	73	0	1	6	1	3
261	Random Lich King Dungeon	69	80	0	0	6	2	4
262	Random Lich King Heroic	80	83	0	1	6	2	5
